Fecha,LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioSojaUSD,SuperficieSembradaSojaSantaFe,SuperficieSembradaSojaBuenosAires,SuperficieSembradaSojaCordoba,SuperficieCosechadaSojaSantaFe,SuperficieCosechadaSojaBuenosAires,SuperficieCosechadaSojaCordoba,ProduccionSojaSantaFe,ProduccionSojaBuenosAires,ProduccionSojaCordoba,RendimientoSojaSantaFe,RendimientoSojaBuenosAires,RendimientoSojaCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionSojaDiaAnterior,VariacionSojaTresDia,VariacionSojaSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasSoja,PrecioPromedioSesentaDiasSoja,PrecioPromedioNoventaDiasSoja,PrecioRealDiaSiguiente
20000224,1.4000,0.0000,0.7000,1.0000,182.8000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0043956043956043956043956044,-0.0036337209302325581395348837,-0.0134155744024672320740169622,9.5000,0.0000,0.0000,9.5000,0.0000,0.0000,85.2000,78.1000,0.0000,151.6000,146.1000,0.0000,151.6000,161.1000,0.0000,187.0045,185.4763,185.4763,180.2000
20000225,2.0000,0.0000,0.0000,1.0000,180.8000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0109409190371991247264770241,-0.0141766630316248636859323882,-0.0208123791102514506769825919,10.9000,0.7000,0.0000,10.9000,0.7000,0.0000,86.6000,78.8000,0.0000,153.0000,146.3000,0.0000,153.0000,161.8000,0.0000,186.7272,185.4076,185.4076,180.3000
20000228,0.0000,0.0000,0.0000,1.0000,180.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0044247787610619469026548673,-0.0102639296187683284457478006,-0.0202177293934681181959564541,16.8000,30.2000,0.0000,16.8000,30.2000,0.0000,100.5000,108.3000,0.0000,150.4000,140.3000,0.0000,166.9000,191.3000,0.0000,186.0200,185.2925,185.2925,180.1000
20000229,0.0000,0.0000,0.0000,1.0000,180.2000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0011111111111111111111111111,-0.0055187637969094922737306843,-0.0137607505863956215793588741,15.3000,30.2000,0.0000,15.3000,30.2000,0.0000,100.4000,108.3000,0.0000,139.3000,139.3000,0.0000,166.9000,191.3000,0.0000,185.7333,185.1634,185.1634,181.0000
20000301,0.0000,0.0000,2.0000,1.0000,180.3000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0005549389567147613762486127,-0.0001848428835489833641404806,-0.0094961544498508868309527547,15.3000,30.2000,0.0000,15.3000,30.2000,0.0000,100.4000,108.3000,0.0000,139.3000,139.3000,0.0000,166.9000,191.3000,0.0000,185.4818,185.0452,185.0452,182.3000
20000302,0.0000,0.0000,0.0000,1.0000,180.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0011092623405435385468663339,-0.0003700277520814061054579094,-0.0084939048368069209594966575,15.3000,32.2000,0.0000,15.3000,32.2000,0.0000,100.4000,110.3000,0.0000,124.8000,137.8000,0.0000,166.9000,193.3000,0.0000,185.1272,184.9348,184.9348,184.5000
20000303,0.0000,0.0000,2.5000,1.0000,181.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0049972237645752359800111049,0.0044395116537180910099889012,0.0006318117201074079924182593,13.9000,31.5000,0.0000,13.9000,31.5000,0.0000,100.4000,110.3000,0.0000,124.8000,137.8000,0.0000,166.9000,193.3000,0.0000,184.6727,184.8250,184.8250,184.1000
20000306,0.0000,0.0000,0.0000,1.0000,182.3000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0071823204419889502762430939,0.0101588474325821943110454377,0.0086152386974391400569079988,4.5000,8.0000,0.0000,4.5000,8.0000,0.0000,92.5000,106.3000,0.0000,129.3000,143.8000,0.0000,171.4000,199.3000,0.0000,183.8150,185.2071,184.7400,183.1000
20000307,0.0000,0.0000,0.0000,1.0000,184.5000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0120680197476686780032912781,0.0185866764814133235185866765,0.0211907962362615640072744524,4.5000,8.0000,0.0000,4.5000,8.0000,0.0000,92.5000,106.3000,0.0000,113.5000,143.8000,0.0000,171.4000,199.3000,0.0000,183.7428,185.2404,184.6869,183.1000
20000308,0.0000,0.0000,0.0000,1.0000,184.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0021680216802168021680216802,0.008214676889375684556407448,0.0160044150110375275938189845,4.5000,8.0000,0.0000,4.5000,8.0000,0.0000,92.5000,106.3000,0.0000,113.4000,143.8000,0.0000,171.4000,199.3000,0.0000,183.7772,185.2976,184.6829,178.5000
